Title ,Year ,Director ,Country ,ASL 
Bullets Over Broadway ,1994,"Allen, Woody ",USA ,51.9
Bullitt ,1968,"Yates, Peter ",USA ,6.62
Bullwhip ,1958,"Jones, Harmon ",USA ,10.3
Bully ,2001,"Clark, Larry ",,4.97
Bulworth ,1998,"Beatty, Warren ",USA ,5.9
"Bunch of Amateurs, A ",2008,"Cadiff, Andy ",BRI ,3.67
Bundle of Joy ,1956,"Taurog, Norman ",USA ,8.8
"Bunker, The ",2001,"Green, Rob ",BRI ,4.5
Bunny and the Bull ,2009,"King, Paul ",BRI ,4.12
"Buon, il bruto, il cattivo, il ",1966,"Leone, Sergio ",ITA ,6.76
Buona Sera Mrs. Campbell ,1968,"Frank, Melvin ",USA ,5
"buono, il brutto, il cattivo, Il ",1966,"Leone, Sergio ",ITA ,6.7
"'Burbs, The ",1989,"Dante, Joe ",USA ,7.56
Bureau of Missing Persons ,1933,"Del Ruth, Roy ",USA ,7.9
Burglar ,1987,"Wilson, Hugh ",USA ,5.2
Buried on Sunday ,1992,"Donovan, Paul ",CAN ,6.1
Burn After Reading ,2008,"Coen, Ethan & Joel ",,4.9
"Burning Hills, The ",1956,"Heisler, Stuart ",USA ,7.46
"Burning Plain, The ",2008,"Arriaga, Guillermo ",,6.12
Bus 174 ,2002,"Padilha, J. & Lacerda, F. ",BRA ,12.85
Bus Stop ,1956,"Logan, Joshua ",USA ,7.3
"Business Affair, A ",1993,"Brandstrom, Charlotte ",,6.7
"Business of Strangers, The ",2001,"Stettner, Patrick ",USA ,6.49
"Business, The ",2005,"Love, Nick ",BRI ,2.87
Buster ,1988,"Green, David ",BRI ,8.19
Butch and Sundance: The Early Days ,1979,"Lester, Richard ",USA ,5.3
Butch Cassidy and the Sundance Kid ,1969,"Hill, George Roy ",USA ,6.41
"Butcher Boy, The ",1997,"Jordan, Neil ",,6.8
Butterfield 8 ,1960,"Mann, Daniel ",USA ,11.2
Butterflies are Free ,1972,"Katselas, Milton ",USA ,9.7
Butterfly ,1924,"Brown, Clarence ",USA ,6.4
"Butterfly Effect, The ",2003,"Bress, E. & Gruber, J. M. ",USA ,4.11
Butterfly on a Wheel ,2007,"Barker, Mike ",,4.32
Buy and Cell ,1988,"Boris, Robert ",USA ,9.5
Buy Me That Town ,1941,"Forde, Eugene ",USA ,9
Buying the Cow ,2000,"Becker, Walt ",USA ,4.19
Bwana Devil ,1952,"Oboler, Arch ",USA ,8.8
By the Light of the Silvery Moon ,1953,"Butler, David ",USA ,9.67
By the Sword ,1992,"Kagan, Jeremy ",USA ,6.1
Bye Bye Birdie ,1963,"Sidney, George ",USA ,8.2
Bye Bye Braverman ,1968,"Lumet, Sidney ",USA ,9.7
Bye Bye Love ,1995,"Weisman, Sam ",USA ,3.9
Byzantium ,2012,"Jordan, Neil ",,5.48
C.R.A.Z.Y. ,2005,"Vallee, Jean-Marc ",CAN ,6.33
Ca commence aujourd-hui ,1999,"Tavernier, Bertrand ",FRA ,9.8
Ca$h ,2008,"Besnard, Eric ",FRA ,5.42
Cabaret ,1972,"Fosse, Bob ",USA ,5.73
Cabaret Balkan ,1998,"Paskaljevic, Goran ",SER ,8.28
Cabin Boy ,1994,"Resnick, Adam ",USA ,4.9
Cabin Fever ,2002,"Roth, Eli ",USA ,4.72
"Cabin in the Woods, The ",2010,"Goddard, Drew ",USA ,2.82
"Cable Guy, The ",1996,"Stiller, Ben ",USA ,4.7
Caccia alla Volpe ,1966,"De Sica, Vittorio ",ITA ,7.5
Caché ,2005,"Haneke, Michael ",FRA ,25.51
Cactus Flower ,1969,"Saks, Gene ",USA ,10.93
Cactus Jack ,1979,"Needham, Hal ",USA ,7.9
Caddyshack ,1980,"Ramis, Harold ",USA ,5.04
Cadillac Manor ,1990,"Donaldson, Roger ",USA ,4.68
Cadillac Records ,2008,"Martin, Darnell ",USA ,4.08
"Caduta degli Dei, La ",1969,"Visconti, Luchino ",ITA ,14
"Cage aux folles II, le ",1980,"Molinaro, Eduardo ",,6.3
Cage of Gold ,1950,"Dearden, Basil ",BRI ,7.9
"Cahill, United States Marshall ",1973,"McLagen, Andrew V. ",USA ,5.01
"Caine Mutiny, The ",1954,"Dmytryk, Edward ",USA ,5.96
Cairo Road ,1950,"MacDonald, David ",BRI ,6.3
Calamity Jane ,1953,"Butler, David ",USA ,9.22
Calamity Jane and Sam Bass ,1949,"Sherman, George ",USA ,8.2
"Calcium Kid, The ",2003,"De Rakoff, Alex ",BRI ,4.68
Calendar Girls ,2003,"Cole, Nigel ",BRI ,5.02
"Calendar, The ",1948,"Crabtree, Arthur ",BRI ,7.5
California ,1946,"Farrow, John ",USA ,19.6
California Dreamin' ,2007,"Nemescu, Christian ",ROM ,10.57
California Dreaming ,1979,"Hancock, John ",USA ,6.1
California Straight Ahead ,1937,"Lubin, Arthur ",USA ,6.2
Caligula ,1979,"Brass, Tinto ",,5.5
Call Me Madam ,1953,"Lang, Walter ",USA ,16.8
Call Northside 777 ,1948,"Hathaway, Henry ",USA ,9.2
Call of the Wild ,1935,"Wellman, William ",USA ,6.3
Callan ,1974,"Sharp, Don ",BRI ,7.4
Calvaire ,2004,"Du Welz, Fabrice ",FRA ,11.6
Camelot ,1967,"Logan, Joshua ",USA ,7.18
"Camels are Coming, The ",1934,"Whelan, Tim ",BRI ,4.7
Camilla ,1993,"Mehta, Deepa ",,8.7
Camp ,2003,"Graff, Todd ",USA ,5.43
Campbell's Kingdom ,1957,"Thomas, Ralph ",BRI ,5.84
Can You Keep It Up for a Week? ,1974,"Atkinson, Jim ",BRI ,10
Canadian Bacon ,1995,"Moore, Michael ",USA ,4.7
"Canadians, The ",1961,"Kennedy, Burt ",USA ,7
Can-Can ,1960,"Lang, Walter ",USA ,17.4
"Candidate, The ",1972,"Ritchie, Michael ",USA ,4.87
Candlelight in Algeria ,1943,"King, George ",BRI ,7.5
Candlelight in Algeria ,1944,"King, George ",BRI ,7.83
Candleshoe ,1977,"Tokar, Norman ",USA ,4.6
Candy ,2005,"Armfield, Neil ",AUS ,7.29
Candyman II: Farewell to the Flesh ,1995,"Condon, Bill ",USA ,3.4
Cannibal! The Musical ,1993,"Parker, Trey ",USA ,5.1
Cannonball Run II ,1984,"Needham, Hal ",USA ,4.2
"Cannonball Run, The ",1981,"Needham, Hal ",USA ,4.6
Can't Be Heaven ,1999,"Friedman, Richard ",USA ,4.9
Can't Hardly Wait ,1998,"Elfont, Harry & Kaplan, D ",USA ,4.7
Can't Stop the Music ,1980,"Walker, Nancy ",USA ,7
"Canterbury Tale, A ",1944,"Powell, M. & Pressburger, ",BRI ,8.45
Canyon Passage ,1946,"Tourneur, Jacques ",USA ,8.6
Cape Fear ,1991,"Scorsese, Martin ",USA ,5
Cape Forlorn ,1930,"Dupont, E.A. ",BRI ,11.5
Capriccio ,1938,"Ritter, Karl ",GER ,7.5
Caprice ,1966,"Tashlin, Frank ",USA ,4
Capricorn One ,1978,"Hyams, Peter ",,7.9
Captain Apache ,1971,"Singer, Alexander ",,4.75
Captain Blood ,1924,"Smith, David ",USA ,4.5
Captain Boycott ,1947,"Launder, Frank ",BRI ,7.4
Captain Corelli's Mandolin ,2001,"Madden, John ",,4.9
Captain from Castile ,1947,"King, Henry ",USA ,9.7
"Captain Hates the Sea, The ",1934,"Milestone, Lewis ",USA ,11.1
Captain Horatio Hornblower ,1951,"Walsh, Raoul ",USA ,8.5
Captain Lightfoot ,1954,"Sirk, Douglas ",USA ,10
Captain Nemo and the Underwater City ,1969,"Hill, James ",USA ,6.5
"Captain Newman, M.D. ",1963,"Miller, David ",USA ,8.49
Captain Ron ,1992,"Eberhardt, Thorn ",USA ,6.29
Captain Scarlett ,1953,"Car, Thomas ",USA ,7
Captains of the Clouds ,1942,"Curtiz, Michael ",USA ,6.7
"Captain's Paradise, The ",1953,"Kimmins, Anthony ",BRI ,10.3
Captive ,1998,"Gibbons, Rodney ",CAN ,5.4
"Captive Heart, The ",1946,"Dearden, Basil ",BRI ,8.53
Captives ,1994,"Pope, Angela ",BRI ,6.61
"Capture, The ",1950,"Sturges, John ",USA ,11.3
Capturing the Friedmans ,2003,"Jarecki, Andrew ",USA ,10.1
"Car 54, Where Are You? ",1991,"Fishman, Bill ",USA ,4.1
Car of Dreams ,1935,"Cutts, G. & Melford, A. ",BRI ,7.6
Car Trouble ,1985,"Green, David ",BRI ,6.2
Carambola ,1974,"Baldi, Ferdinando ",ITA ,4.03
Caramel ,2007,"Labaki, Nadine ",LEB ,5.91
Carandiru ,2003,"Babenco, Hector ",BRA ,7.07
Caravan ,1946,"Crabtree, Arthur ",BRI ,14.6
Caravan to Vaccares ,1974,"Reeve, Geoffrey ",,4.39
"Card, The ",1951,"Neame, Ronald ",BRI ,7.51
"Cardinal, The ",1963,"Preminger, Otto ",USA ,17.6
Career Girls ,1997,"Leigh, Mike ",BRI ,5.2
Career Opportunities ,1991,"Gordon, Bryan ",USA ,4.3
Carefree ,1938,"Sandrich, Mark ",USA ,7.75
"Cariboo Trail, The ",1950,"Marin, Edwin L. ",USA ,7.55
Carla's Song ,1996,"Loach, Ken ",,9.5
Carlito's Way ,1993,"De Palma, Brian ",USA ,7.51
Carmen ,1915,"DeMille, Cecil B. ",USA ,11.5
Carmen Jones ,1954,"Preminger, Otto ",USA ,46
Carnage ,2011,"Polanski, Roman ",,6.3
Carnal Knowledge ,1971,"Nichols, Mike ",USA ,24.3
Carnegie Hall ,1947,"Ulmer, Edgar G. ",USA ,17.4
Carnival ,1946,"Haynes, Stanley ",BRI ,8.3
Carnival Boat ,1932,"Rogell, Albert ",USA ,5.04
Carnival of Souls ,1962,"Harvey, Herk ",USA ,10.31
Carnival Story ,1954,"Neumann, Kurt ",USA ,5.9
Caro diario ,1994,"Moretti, Nanni ",ITA ,16.8
Carousel ,1956,"King, Henry ",USA ,22
Carpool ,1996,"Hiller, Arthur ",USA ,4.01
Carrefour ,1938,"Bernhardt, Kurt ",FRA ,10
Carrie ,1952,"Wyler, William ",USA ,14
Carrie ,1976,"De Palma, Brian ",USA ,5.65
"Carri?re de Suzanne, la ",1963,"Rohmer, Eric ",FRA ,10.5
Carriers ,2008,"Pastor, Alex & David ",USA ,4.1
Carrington ,1995,"Hampton, Christopher ",BRI ,9.4
Carrington VC ,1954,"Asquith, Anthony ",BRI ,7.81
Carry Me Back ,1982,"Reid, John ",NZE ,8.4
Carry On ... Up the Khyber ,1968,"Thomas, Gerald ",BRI ,6
Carry On Abroad ,1972,"Thomas, Gerald ",BRI ,4.93
Carry on Admiral ,1957,"Guest, Val ",BRI ,14.3
"Carry On Again, Doctor ",1969,"Thomas, Ralph ",BRI ,6
Carry on at Your Convenience ,1971,"Thomas, Gerald ",BRI ,4.97
Carry On Behind ,1975,"Thomas, Gerald ",BRI ,4.66
Carry on Cabby ,1963,"Thomas, Gerald ",BRI ,6.24
Carry On Camping ,1969,"Thomas, Gerald ",BRI ,5.79
Carry On Cleo ,1964,"Thomas, Gerald ",BRI ,6.06
Carry On Constable ,1960,"Thomas, Gerald ",BRI ,5.87
Carry On Cowboy ,1965,"Thomas, Gerald ",BRI ,5.87
Carry On Cruising ,1962,"Thomas, Gerald ",BRI ,5.8
Carry On Dick ,1974,"Thomas, Gerald ",BRI ,4.79
Carry On Doctor ,1968,"Thomas, Gerald ",BRI ,7
Carry On Emannuelle ,1978,"Thomas, Gerald ",BRI ,5.41
Carry on England ,1976,"Thomas, Gerald ",BRI ,5.56
Carry On- Follow That Camel ,1967,"Thomas, Gerald ",BRI ,5.21
Carry On Girls ,1973,"Thomas, Gerald ",BRI ,448
Carry On Henry ,1971,"Thomas, Gerald ",BRI ,5.66
Carry On Jack ,1963,"Thomas, Gerald ",BRI ,5.34
Carry On Loving ,1970,"Thomas, Gerald ",BRI ,5.05
Carry On Matron ,1972,"Thomas, Gerald ",BRI ,5.26
Carry On Nurse ,1959,"Thomas, Gerald ",BRI ,7.78
Carry On Regardless ,1960,"Thomas, Gerald ",BRI ,4.58
Carry On Screaming ,1966,"Thomas, Gerald ",BRI ,6.2
Carry On Sergeant ,1958,"Thomas, Gerald ",BRI ,5.88
Carry On Spying ,1964,"Thomas, Gerald ",BRI ,5.6
Carry On Teacher ,1959,"Thomas, Gerald ",BRI ,5.89
Carry On up the Jungle ,1970,"Thomas, Gerald ",BRI ,5.6
Carry On Up the Khyber ,1968,"Thomas, Gerald ",BRI ,5.3
Carson City ,1952,"Toth, Andre de ",USA ,6.5
Carve Her Name with Pride ,1958,"Gilbert, Lewis ",BRI ,8.37
Casablanca ,1943,"Curtiz, Michael ",USA ,7.47
Casablanca Express ,1989,"Martino, Sergio ",ITA ,3.97
Casanova ,1927,"Volkoff, Alexandre ",FRA ,6.5
Casanova ,2005,"Hallström, Lasse ",USA ,3.94
Casanova's Big Night ,1954,"McLeod, Norman Z. ",USA ,9
Casbah ,1948,"Berry, John ",USA ,14.9
"Case of Becky, The ",1915,"Reicher, Frank ",USA ,13
"Case of Honor, A ",1988,"Romero, Eddie ",PHI ,7.7
Casey's Shadow ,1978,"Ritt, Martin ",USA ,7.1
Casino ,1995,"Scorsese, Martin ",USA ,5.3
Casino Royale ,1967,"Huston, Hughes, Guest, Pa ",BRI ,4.7
Casper ,1995,"Silberling, Brad ",USA ,6.2
Casper Meets Wendy ,1998,"McNamara, Sean ",USA ,3.1
Casper: A Spirited Beginning ,1997,"McNamara, Sean ",USA ,4
Cass ,2008,"Baird, Jon S. ",BRI ,5.03
Cass Timberlane ,1947,"Sidney, George ",USA ,11.3
"Cassandra Crossing, The ",1976,"Cosmatos, George Pan ",,4.68
Cast Away ,2000,"Zemeckis, Robert ",USA ,9.7
Castaway ,1986,"Roeg, Nicholas ",BRI ,5.86
Castle on the Hudson ,1940,"Litvak, Anatole ",USA ,6.5
"Castle, The ",1997,"Sitch, Rob ",AUS ,7.5
Castles for Two ,1917,"Reicher, Frank ",USA ,9
Casualties ,1997,"Graves, Alex ",USA ,4.1
Casualties of War ,1989,"De Palma, Brian ",USA ,8.2
"Cat and the Canary, The ",1939,"Nugent, Elliot ",USA ,13
"Cat and the Canary, The ",1979,"Metzger, Radley ",BRI ,7.2
Cat Ballou ,1965,"Silverstein, Elliot ",USA ,8.5
"Cat From Outer Space, The ",1978,"Tokar, Norman ",USA ,3.7
Cat People ,1942,"Tourneur, Jacques ",USA ,8.1
Catacombs ,1988,"Schmoeller, David ",,5.5
Catch a Fire ,2006,"Noyce, Phillip ",,3.5
Catch and Release ,2006,"Grant, Susannah ",USA ,5.42
Catch Me If You Can ,2002,"Spielberg, Steven ",USA ,7.8
Catch That Kid ,2004,"Freundlich, Bart ",,2.57
"Catered Affair, The ",1956,"Brooks, Richard ",USA ,11.2
Catherine the Great ,1934,"Czinner, Paul ",BRI ,8.5
Cats & Dogs ,2001,"Guterman, Lawrence ",USA ,2.2
Cat's Eye ,1984,"Teague, Lewis ",USA ,4.9
"Cat's Meow, The ",2001,"Bogdanovitch, Peter ",USA ,7.46
Cattle Drive ,1951,"Neumann, Kurt ",USA ,6
Cattle Empire ,1958,"Warren, Charles Marquis ",USA ,8
Cattle Queen of Montana ,1954,"Dwan, Allan ",USA ,7.85
Catwoman ,2004,Pitof ,,1.76
Caught ,1949,"Ophuls, Max ",USA ,17
Caught ,1996,"Young, Robert M. ",USA ,7.4
Caught in the Act ,1996,"Greenstreet, Mark ",BRI ,4.2
Cave of Outlaws ,1951,"Castle, William ",USA ,8.8
Caveman ,1981,"Gottlieb, Carl ",,4.4
Cedar Rapids ,2011,"Arteta, Miguel ",USA ,3.97
Céline et Julie vont en bateau ,1974,"Rivette, Jacques ",FRA ,13.66
"Cell, The ",2000,"Sing, Tarsem ",USA ,3.8
Cellular ,2004,"Ellis, David E. ",USA ,4.32
Celtic Pride ,1996,"DeCerchio, Tom ",USA ,3.5
Cemetery Junction ,2010,"Gervais, Ricky & Merchant, Steven ",USA ,4.26
Central Station ,1998,"Salles, Walter ",BRA ,7.2
C'era un volta ,1967,"Rosi, Francesco ",ITA ,8.5
"Cercle rouge, le ",1970,"Melville, Jean-Pierre ",FRA ,8.52
"Cérémonie, la ",1995,"Chabrol, Claude ",FRA ,9.6
C'est arrivé pres de chez vous ,1992,"Belvaux, Rémy ",BEL ,19.3
C'est la vie ,1990,"Kurys, Diane ",FRA ,8
Cesta k Barikadam ,1946,"Vavra, Otakar ",CZE ,3.2
Cet obscure objet de désir ,1977,"Bu?uel, Luis ",FRA ,28
Chachi 420 ,1997,"Haasan, Kamal ",IND ,6.7
Chacun cherche son chat ,1996,"Klapisch, Cédric ",FRA ,10.2
Chain of Command ,2000,"Terlesky, John ",USA ,3.6
Chain Reaction ,1980,"Barry, Ian ",AUS ,4.4
Chain Reaction ,1996,"Davis, Andrew ",USA ,3.2
Chal mere bhai ,2000,"Dhawan, David ",IND ,7.2
Chalet Girl ,2010,"Traill, Phil ",,3.38
"Chalk Garden, The ",1964,"Neame, Ronald ",BRI ,11.4
"Challenge for Robin Hood, A ",1967,"Pennington Richards, C.M. ",BRI ,6.3
Challenge to Lassie ,1949,"Thorpe, Richard ",USA ,9
Challenge to Lassie ,1949,"Thorpe, Richard ",USA ,8.42
"Challenge, The ",1960,"Gilling, John ",BRI ,6.9
"Chamber, The ",1996,"Foley, James ",USA ,5.2
"Chambre des officiers, la ",2001,"Dupeyron, Francois ",FRA ,11.8
"Chambre verte, la ",1978,"Truffaut, Francois ",FRA ,13
Champagne ,1928,"Hitchcock, Alfred ",BRI ,7
Champagne Charlie ,1944,"Cavalcanti, Alberto ",BRI ,9
Champagne for Caesar ,1950,"Whorf, Richard ",USA ,12.5
Champion ,1949,"Robson, Mark ",USA ,7.3
Chance of a Lifetime ,1950,"Miles, B. & Osbiston, A. ",BRI ,8.7
Chances Are ,1989,"Ardolino, Emile ",USA ,5.2
Chandni ,1989,"Chopra, Yash ",IND ,6.9
Chandni Bar ,2001,"Bhandarkar, Madhur ",IND ,7.7
Change of Habit ,1969,"Graham, William A. ",USA ,3.5
"Change of Seasons, A ",1980,"Lang, Richard ",USA ,8.4
Changeling ,2008,"Eastwood, Clint ",USA ,4.57
"Change-Up, The ",2011,"Dobkin, David ",USA ,2.8
Changing Husbands ,1924,"Urson, Frank & Iribe, P. ",USA ,6.5
Chaos ,2006,"Giglio, Tony ",,3.54
Chaplin ,1992,"Attenborough, Richard ",,5.32
"Chapman Report, The ",1962,"Cukor, George ",USA ,11.4
Charade ,1963,"Donen, Stanley ",USA ,6.5
"Charge of the Light Brigade, The ",1936,"Curtiz, Michael ",USA ,7.5
"Charge of the Light Brigade, The ",1968,"Richardson, Tony ",USA ,7.2
Chariots of Fire ,1981,"Hudson, Hugh ",BRI ,8.53
Charley Varrick ,1973,"Siegel, Don ",USA ,6.06
Charley's Aunt ,1941,"Mayo, Archie ",USA ,10.6
Charlie & Boots ,2009,"Murphy, Dean ",AUS ,4.31
Charlie and the Chocolate Factory ,2005,"Burton, Tim ",,2.84
Charlie Wilson's War ,2007,"Nichols, Mike ",,4.19
Charlie's Angels ,2000,McG (Joseph McGinty Nicho ,,2.9
Charlie's Angels: Full Throttle ,2003,McG ,USA ,2.54
Charlie's Ghost Story ,1994,"Edwards, Anthony ",USA ,5.8
Charlotte Gray ,2000,"Armstrong, Gillian ",,6.1
Charlotte's Web ,2007,"Winick, Gary ",USA ,3.81
Charulata ,1964,"Ray, Satyajit ",IND ,13.68
Chase a Crooked Shadow ,1957,"Anderson, Michael ",BRI ,9.1
"Chaser, The ",2008,Na Hong-Jin ,KOR ,2.99
Chasing Amy ,1996,"Smith, Kevin ",USA ,7.1
Chasing the Deer ,1994,"Holloway, Graham ",BRI ,9.12
"Chateau de ma m?re, le ",1990,"Robert, Yves ",FRA ,8.8
Chato's Land ,1971,"Winner, Michael ",BRI ,5.68
Chatroom ,2010,"Nakata, Hideo ",BRI ,5.29
Chatterbox ,1935,"Nicholls Jr., George ",USA ,9
Chaudvin ka Chand ,1960,"Sadiq, M. ",IND ,11
Che: Part One ,2008,"Soderbergh, Steven ",,9.1
Che: Part Two ,2008,"Soderbergh, Steven ",,10.74
"Cheap Detective, The ",1978,"Moore, Robert ",USA ,7.57
Cheaper by the Dozen ,1950,"Lang, Walter ",USA ,13.24
Cheaper By the Dozen ,2003,"Levy, Shawn ",USA ,3.53
Cheaper by the Dozen 2 ,2005,"Shankman, Adam ",USA ,3.56
"Cheat, The ",1915,"DeMille, Cecil B. ",USA ,12
"Cheaters, The ",1945,"Kane, Joseph ",USA ,10.2
Cheech and Chong's Next Movie ,1980,"Chong, Thomas ",USA ,8.1
Cheers for Miss Bishop ,1941,"Garnett, Tay ",USA ,11.6
Chelovek iz restorana ,1927,"Protazanov, Yakov ",RUS ,7.8
Cherish ,2002,"Taylor, Finn ",USA ,4.11
Cherps ,2005,"Lee, Kolton ",BRI ,4.6
Cherry Falls ,1999,"Wright, Geoff ",USA ,4.2
"Cherry, Harry and Raquel ",1969,"Meyer, Russ ",USA ,2.2
Cheyenne Autumn ,1964,"Ford, John ",USA ,11.48
"Cheyenne Social Club, The ",1970,"Kelly, Gene ",USA ,5.86
Cheyenne Warrior ,1994,"Griffiths, Mark ",USA ,5.7
Chicago ,2002,"Marshall, Rob ",,2.8
Chicago Cab ,1998,"Cybulski, M. & Tintori, J ",USA ,4.9
Chicken Every Sunday ,1948,"Seaton, George ",USA ,13.3
Chief Crazy Horse ,1955,"Sherman, George ",USA ,7.3
"Chienne, la ",1931,"Renoir, Jean ",FRA ,19
"Chignon d'Olga, le ",2002,"Bonnell, Jér?me ",FRA ,15.8
"Child is Waiting, A ",1962,"Cassavetes, John ",USA ,7.8
"Child of the Streets, A ",1916,"Ingraham, Lloyd ",USA ,7.5
Children of Change ,1949,"Zampa, Luigi ",BRI ,8.4
Children of Glory ,2006,"Goda, Krisztina ",HUN ,2.83
"Children of Heaven, The ",1997,"Majidi, Majid ",IRA ,6.03
Children of Men ,2006,"Cuaron, Alfonso ",USA ,14.15
Children of the Damned ,1963,"Leader, A.M. ",BRI ,4.5
Children of the Revolution ,1996,"Duncan, Peter ",AUS ,6
"Children, The ",2008,"Shankland, Tom ",BRI ,3.53
"Children's Hour, The ",1961,"Wyler, William ",USA ,9.5
Child's Play ,1988,"Holland, Tom ",USA ,4
Child's Play 2 ,1990,"Lafia, John ",USA ,4.85
Child's Play 3 ,1991,"Bender, Jack ",USA ,45.32
Chill Factor ,1999,"Johnson, Hugh ",USA ,2.8
China Moon ,1996,"Bailey, John ",USA ,7.1
China Seas ,1935,"Garnett, Tay ",USA ,7
China Sky ,1945,"Enright, Ray ",USA ,6.93
"China Syndrome, The ",1979,"Bridges, James ",USA ,5.6
Chinatown ,1974,"Polanski, Roman ",USA ,15.67
"Chinese Ghost Story II, A ",1990,Ching Shiu-Tung ,HKO ,3.3
Chippendales: Just Can't Get Enough ,2001,"Payne, David ",USA ,4.4
Chisum ,1970,"McLagen, Andrew V. ",USA ,5.68
Chitty Chitty Bang Bang ,1968,"Hughes, Ken ",BRI ,6.43
Chocolat ,2000,"Hallström, Lasse ",,5
Chocolate ,2008,"Pankaew, Prachya ",THA ,2.66
"Chocolate War, The ",1988,"Gordon, Keith ",USA ,14
"Choirboys, The ",1977,"Aldrich, Robert ",USA ,4.5
Choke ,2008,"Gregg, Clark ",USA ,4.44
CHOMPS ,1979,"Chaffey, Don ",USA ,3.4
Choose Me ,1984,"Rudolph, Alan ",USA ,13
Chopper ,2000,"Dominik, Andrew ",AUS ,6.3
Chopper Chicks in Zombie Town ,1990,"Hoskins, Dan ",USA ,4.6
"Choristes, les ",2004,"Barratier, Christophe ",FRA ,5.31
"Chorus of Disapproval, A ",1988,"Winner, Michael ",BRI ,4.5
Choses Sécrets ,2002,"Brisseau, Jean-Claude ",FRA ,6.71
Christine ,1983,"Carpenter, John ",USA ,5.96
Christmas Holiday ,1944,"Siodmak, Robert ",USA ,10.3
"Christmas Takeover, The ",1998,"Scott, Michael ",USA ,3.9
"Christmas Tale, A ",2005,"Plaza, Paco ",SPA ,4.66
"Christmas Visitor, A ",2002,"Leitch, Christopher ",USA ,5.25
Christmas with the Kranks ,2004,"Roth, Joe ",USA ,3.04
Christopher Columbus ,1949,"MacDonald, David ",BRI ,12.2
Christopher Columbus: The Discovery ,1992,"Glen, John ",,4.42
Christopher Strong ,1933,"Arzner, Dorothy ",USA ,10.94
Chronicle ,2012,"Trank, Josh ",USA ,9.79
"Chronicles of Narnia: Prince Caspian, The ",2008,"Adamson, Andrew ",,2.92
"Chronicles of Narnia: The Lion, the Witch, and the Wardrobe, The ",2005,"Adamson, Andrew ",USA ,2.48
"Chronicles of Narnia: The Voyage of the Dawn Treader, The ",2010,"Apted, Michael ",USA ,3.06
"Chronicles of Riddick, The ",2004,"Twohy, David ",USA ,2.56
"Chucho, Quien sabe?, el ",1966,"Damiani, Damiano ",ITA ,6.28
Chuck and Buck ,2000,"Arteta, Miguel ",USA ,6.02
Chuka ,1967,"Douglas, Gordon ",USA ,11
Churchill: The Hollywood Years ,2004,"Richardson, Peter ",BRI ,3.61
"Cid, El ",1961,"Mann, Anthony ",USA ,6.08
"Cider House Rules, The ",1999,"Halström, Lasse ",USA ,6
"Ciel est ? vous, Le ",1943,"Grémillon, Jean ",FRA ,13
"Ciel, les oiseaux, ....et ta m?re, le ",1998,"Bensalah, Djamel ",FRA ,9.8
"Cielo ? sempre pi? blu, il ",1995,"Grimaldi, Antonello ",ITA ,11
"Ciénaga, la ",2001,"Martel, Lucrecia ",ARG ,7.82
Cimarron ,1931,"Ruggles, Wesley ",USA ,11
"Cimarron Kid, The ",1951,"Boetticher, Budd ",USA ,10.9
"Cina e vicina, La ",1967,"Bellocchio, Marco ",ITA ,6.5
"Cincinatti Kid, The ",1965,"Jewison, Norman ",USA ,8.1
Cinderella Liberty ,1973,"Rydell, Mark ",USA ,10.8
Cinderella Man ,2005,"Howard, Ron ",USA ,2.9
"Cinderella Story, A ",2004,"Rosman, Mark ",USA ,3.48
Cinderfella ,1960,"Tashlin, Frank ",USA ,10.7
Cinema Paradiso ,1988,"Tornatore, Giuseppe ",ITA ,5.7
"Cinqui?me elément, le ",1997,"Besson, Luc ",FRA ,2.9
Circle of Danger ,1950,"Tourneur, Jacques ",USA ,14.8
Circle of Deception ,1999,"DeLaBarre, Eric ",USA ,6.7
Circle of Eight ,2009,"Cragg, Stephen ",USA ,2.56
Circle of Friends ,1995,"O'Connor, Pat ",,6.2
"Circle, The ",1926,"Borzage, Frank ",USA ,6
"Circle, The ",2000,"Panahi, Jafar ",IRA ,35.6
Circus ,1999,"Walker, Rob ",BRI ,4.3
Circus of Fear ,1967,"Moxey, John ",BRI ,7.2
Circus of Horrors ,1960,"Hayers, Sidney ",BRI ,5.5
"Circus Queen Murder, The ",1933,"Neill, Roy William ",USA ,6.2
Cirque du Freak: The Vampire's Assistant ,2009,"Weitz, Paul ",USA ,3.42
"Cité des enfants perdus, la ",1995,"Jeunet, J-P. & Caro, M. ",FRA ,5.6
Citizen Kane ,1941,"Welles, Orson ",USA ,11.37
Citizen Ruth ,1996,"Payne, Alexander ",USA ,6.2
Citizens Band ,1977,"Demme, Jonathan ",USA ,12
City Beneath the Sea ,1953,"Boetticher, Budd ",USA ,9.4
City by the Sea ,2002,"Caton-Jones, Michael ",USA ,5.34
City for Conquest ,1940,"Litvak, Anatole ",USA ,7.3
City Hall ,1996,"Becker, Harold ",USA ,5.55
City Lights ,1931,"Chaplin, Charles ",USA ,8.7
City Loop ,2000,"Chayko, Belinda ",AUS ,7
City of Angels ,1998,"Silberling, Brad ",USA ,5.2
City of Ember ,2008,"Kenan, Gil ",USA ,3.34
City of Industry ,1996,"Irvin, John ",USA ,6.6
City on Fire ,1987,"Lam, Ringo ",HKO ,4.2
